PMID	MeshID	Mentions	Resource
10002889	MESH:C566092	Haas-van Alphen data	DNorm
1000291	MESH:D006130	retarded growth	DNorm
10002923	MESH:C537881	diatomic linear lattice	DNorm
10002986	MESH:C537238	Cooper-pair	DNorm
100030	MESH:D004696	endocarditis|endocarditis|endocarditis	DNorm
100030	MESH:D007239	infection|infection|infection	DNorm
100030	MESH:D016470	bacteremia|bacteremia|bacteremia|bacteremia|bacteremia|bacteremia|bacteremia|bacteremia	DNorm
1000300	MESH:D013119	spinal cord trauma	DNorm
10003026	MESH:D000013	dipolar defects	DNorm
10003052	MESH:D009069	Faraday rotation	DNorm
1000309	MESH:D006470	hemorrhage	DNorm
100031	MESH:C535456	chronic staphylococcal osteomyelitis|chronic staphylococcal osteomyelitis|chronic staphylococcal osteomyelitis	DNorm
100031	MESH:D004696	endocarditis|staphylococcal endocarditis	DNorm
1000311	MESH:D007021	hypospadias	DNorm
10003118	MESH:D013180	Strain-engineered incommensurability	DNorm
1000312	MESH:C567079	unilateral deafness	DNorm
1000314	MESH:D011658	interstitial pulmonary fibrosis	DNorm
1000315	MESH:D011658	pulmonary fibrosis	DNorm
1000317	MESH:D001523	aggression	DNorm
1000317	MESH:D004487	edema	DNorm
1000317	MESH:D013898	Chest Diseases	DNorm
10003194	MESH:C536528	van der	DNorm
100032	MESH:D003490	cyanosis	DNorm
100032	MESH:D003967	Diarrhea|diarrhea|diarrhea|diarrhea	DNorm
100032	MESH:D007022	hypotension	DNorm
100032	MESH:D009059	intestinal mucosal lesion	DNorm
100032	MESH:D012769	shock	DNorm
100032	MESH:D015431	weight loss	DNorm
100032	MESH:D034381	wegith loss	DNorm
10003249	MESH:D030342	Disorder	DNorm
1000325	MESH:D006130	growth retardation	DNorm
1000326	MESH:D003866	depressed	DNorm
1000327	MESH:D008107	liver and kidney weights	DNorm
1000328	MESH:C536271	premature ovulation	DNorm
1000330	MESH:D009422	neurologic diseases	DNorm
1000330	MESH:D010689	phlebitis	DNorm
1000330	MESH:D054060	Pulmonary infarct	DNorm
10003302	MESH:D030342	Atomic disorder	DNorm
1000331	MESH:C537437	L-ornithine decarboxylase	DNorm
100034	MESH:D002189	Cannabis|cannabis|Cannabis|cannabis|cannabis	DNorm
100034	MESH:D011596	psychomotor deficiency	DNorm
1000341	MESH:D005776	glucosyl-galactosyl-hydroxylysine	DNorm
1000341	MESH:D011507	urinary excretion of glucosyl-galactosyl-hydroxylysine and of galactosyl	DNorm
1000341	MESH:D049950	primary hyperparathyroidism|primary hyperparathyroidism	DNorm
1000342	MESH:C535563	tibia|tibia	DNorm
1000342	MESH:D016301	bone loss	DNorm
1000342	MESH:D020966	disuse osteoporosis|disuse osteoporosis	DNorm
10003444	MESH:D003866	depression	DNorm
10003448	MESH:D030342	local disorder	DNorm
1000345	MESH:D007674	calcification of the renal parenchyma	DNorm
10003452	MESH:D019966	Structural dependence on composition	DNorm
1000346	MESH:D015430	weight gain	DNorm
1000347	MESH:C536201	RPGs|RPGs|RPGs|RPGs|RPGs|RPGs|resistant proteoglycans|RPGs|RPGs	DNorm
10003475	MESH:D028361	layered structures	DNorm
100035	MESH:D009402	MIC|minimal inhibitory concentration|MIC|MIC|minimal inhibitory concentration|MIC|MIC|MIC|MIC	DNorm
1000353	MESH:D001851	metabolic bone disease|metabolic bone disease	DNorm
1000353	MESH:D025063	generalised skeletal disorders	DNorm
1000354	MESH:D015430	weight gain	DNorm
1000356	MESH:D002137	supragingival calculus	DNorm
10003579	MESH:C535468	copper oxides	DNorm
1000361	MESH:D015458	TN-T	DNorm
1000363	MESH:C535600	dopamine beta-hydroxylase|DbetaH|DbetaH|DbetaH|DbetaH	DNorm
1000365	MESH:D011123	polyploid|polyploid	DNorm
1000365	MESH:D048629	chromosomal rearrangement and fragmentation	DNorm
1000373	MESH:D015651	mycotoxicosis	DNorm
1000373	MESH:D064420	toxicity	DNorm
1000374	MESH:D008413	mastitis	DNorm
1000374	MESH:D012678	mastitic symptoms	DNorm
1000374	MESH:D013736	indirect hemagglutination test|IHA|IHA|indirect hemagglutination test|IHA|IHA|IHA|IHA|IHA|IHA|IHA|IHA|IHA	DNorm
1000375	MESH:D064420	toxicity	DNorm
1000376	MESH:D003643	death	DNorm
1000377	MESH:D007239	initial infection|chlamydial infection	DNorm
1000378	MESH:D006943	hyperglycemia|hyperglycemia	DNorm
1000378	MESH:D014947	trauma|trauma|trauma	DNorm
1000379	MESH:D003141	infectious bovine kerato-conjuctivitis|infectious bovine kerato-conjuctivitis	DNorm
1000379	MESH:D007639	infectious bovine keratoconjunctivitis	DNorm
100038	MESH:D007732	kwashiorkor|kwashiorkor	DNorm
100038	MESH:D009461	Protein-calorie deficits	DNorm
100038	MESH:D044342	protein-malnutrition	DNorm
1000380	MESH:D015651	mycotoxicoses	DNorm
10003804	MESH:D030342	static disorder	DNorm
1000382	MESH:D008107	Liver and kidney samples	DNorm
1000383	MESH:D006461	hemolysis|hemolysis|hemolysis	DNorm
1000384	MESH:D000014	birth defects	DNorm
1000385	MESH:D008413	mycoplasma mastitis	DNorm
1000386	MESH:D006946	hyperinsulinemia|hyperinsulinemia	DNorm
1000390	MESH:D002282	alveolar lumina	DNorm
1000390	MESH:D004342	Hypersensitivity pneumonitis|hypersensitivity	DNorm
1000390	MESH:D005203	farmer's lung	DNorm
1000390	MESH:D006470	haemorrhage	DNorm
1000390	MESH:D011014	pneumonitis|pneumonitis|Pneumonitis|pneumonitis	DNorm
1000390	MESH:D014657	Vasculitis	DNorm
1000391	MESH:D025861	coagulation defects	DNorm
1000395	MESH:D007815	Cooperia oncophora larvae|Cooperia oncophora larvae	DNorm
1000397	MESH:D004802	eosinophils	DNorm
1000397	MESH:D007239	Patent infections	DNorm
10003970	MESH:D006816	HD	DNorm
10003998	MESH:D000860	oxygen deficiencies	DNorm
1000400	MESH:D000740	anemia	DNorm
1000400	MESH:D001201	ascites	DNorm
1000400	MESH:D003866	depression	DNorm
1000400	MESH:D005234	fatty change|fatty change	DNorm
1000404	MESH:D005334	fever	DNorm
1000404	MESH:D006192	Hemophilus somnus|Hemophilus somnus	DNorm
1000404	MESH:D018805	Hemophilus septicemia	DNorm
10004047	MESH:D021922	Discreteness	DNorm
10004060	MESH:D006319	neural networks	DNorm
10004073	MESH:D000860	oxygen-deficiency	DNorm
1000408	MESH:C536599	Neurofibrillary tangles|neurofibrillary tangle	DNorm
10004089	MESH:C537238	Cooper pairs	DNorm
1000409	MESH:D002526	Ipsilateral cerebellar stimulation|cerebellar damage	DNorm
1000411	MESH:D013132	spino-cerebellar degeneration	DNorm
1000412	MESH:D000014	congenital malformations|congenital malformations	DNorm
1000412	MESH:D003920	diabetes mellitus|diabetes mellitus	DNorm
1000412	MESH:D004194	Associated abnormalities	DNorm
1000412	MESH:D009202	cardiomyopathy	DNorm
1000412	MESH:D012640	convulsions	DNorm
1000414	MESH:D004827	interictal epileptic abnormalities|epileptic seizures	DNorm
1000414	MESH:D013132	other cerebellar degenerations	DNorm
1000414	MESH:D018376	electroencephalographic abnormalities	DNorm
1000414	MESH:D030342	spinal disorder	DNorm
1000416	MESH:D009202	cardiomyopathy	DNorm
1000416	MESH:D009422	neurological disorder	DNorm
1000416	MESH:D024741	ventricular hypertrophy	DNorm
1000417	MESH:C566005	ASH|Asymmetric septal hypertrophy	DNorm
1000417	MESH:D006331	cardiac abnormalities	DNorm
1000417	MESH:D006984	hypertrophy|septal hypertrophy	DNorm
1000417	MESH:D009202	type of cardiomyopathy	DNorm
1000417	MESH:D017379	left ventricular hypertrophy	DNorm
1000417	MESH:D018487	left ventricular enlargement	DNorm
1000418	MESH:D008607	severely handicapped	DNorm
1000418	MESH:D009202	cardiomyopathies|cardiomyopathy	DNorm
1000418	MESH:D009422	neurological impairment	DNorm
1000418	MESH:D018487	hypokinetic left ventricular myocardium	DNorm
1000419	MESH:D003866	hypokinesis and depressed	DNorm
1000419	MESH:D006984	hypertrophic type|hypertrophy|hypertrophy	DNorm
1000419	MESH:D009202	cardiomyopathy	DNorm
1000420	MESH:C564593	idiopathic scoliosis	DNorm
10004206	MESH:D020261	rhombohedral arsenic	DNorm
1000422	MESH:D001259	ataxia|ataxic|ataxia	DNorm
1000422	MESH:D003920	diabetes|diabetes	DNorm
1000422	MESH:D044882	Glucose and insulin metabolism	DNorm
1000423	MESH:D001259	ataxic disease	DNorm
10004236	MESH:D015775	Uniaxial-stress determination	DNorm
1000424	MESH:D030342	genetic defect	DNorm
1000426	MESH:D004194	typical disease	DNorm
1000426	MESH:D009202	cardiomyopathy	DNorm
1000426	MESH:D019636	degenerative disease	DNorm
1000426	MESH:D030342	definition of the disorder	DNorm
100043	MESH:D001656	biliary atresia|biliary atresia|extrahepatic biliary atresia|biliary atresia	DNorm
100043	MESH:D001661	biliary obstruction	DNorm
100043	MESH:D007565	jaundiced|jaundice	DNorm
10004302	MESH:D030342	Effect of disorder	DNorm
10004331	MESH:D003731	decay of Josephson junctions	DNorm
1000434	MESH:D009369	Cervical cancer	DNorm
1000435	MESH:D002771	cholera	DNorm
1000436	MESH:D009369	malignant diseases	DNorm
1000442	MESH:D004342	allergic dermatitis	DNorm
1000442	MESH:D017453	contact irritant dermatitis	DNorm
1000444	MESH:D004696	endocarditis|endocarditis	DNorm
1000444	MESH:D011014	pneumonia	DNorm
10004445	MESH:D020511	Josephson-junction arrays	DNorm
1000445	MESH:D004211	intravascular coagulation	DNorm
1000445	MESH:D007239	Systemic infection|infection|infection	DNorm
1000445	MESH:D018366	Hypersensitivity vasculitis	DNorm
100045	MESH:D008059	Hurler syndrome	DNorm
100045	MESH:D009084	Sanfilippo syndrome	DNorm
1000450	MESH:D000196	actinomycosis	DNorm
10004502	MESH:C535468	copper-bismuth alloys	DNorm
1000451	MESH:D008288	Malaria	DNorm
10004517	MESH:D040181	corner-linked polyhedral compounds	DNorm
1000453	MESH:D006943	Hyperglycemia	DNorm
1000453	MESH:D007010	hyponatremia	DNorm
1000455	MESH:D004194	Traumatic vasospastic disease	DNorm
1000456	MESH:D005334	present illness	DNorm
1000456	MESH:D008659	metabolic disease	DNorm
10004563	MESH:D004204	Frank sessile dislocations	DNorm
10004564	MESH:D019966	Dependence	DNorm
1000457	MESH:D007239	infection	DNorm
1000457	MESH:D011014	Klebsiella pneumoniae	DNorm
1000457	MESH:D016470	bacteremia|bacteremia|bacteremia	DNorm
1000457	MESH:D060085	mixed infections	DNorm
10004576	MESH:D030342	absorption and disorder	DNorm
1000461	MESH:D007855	lead poisoning	DNorm
1000463	MESH:D012480	Salmonella|Salmonella	DNorm
10004631	MESH:D006212	Elementary excitations	DNorm
1000464	MESH:D001791	Platelet aggregation|platelet aggregation|platelet aggregation	DNorm
1000464	MESH:D015470	acute leukemia	DNorm
1000465	MESH:C537775	segmental total-body irradiation	DNorm
1000465	MESH:D001855	bone marrow suppression	DNorm
1000465	MESH:D004194	longer disease-free remissions	DNorm
1000465	MESH:D009369	tumor|localized tumors|tumor|localized tumors	DNorm
1000465	MESH:D064420	toxicity	DNorm
1000467	MESH:D009369	malignant disease	DNorm
1000467	MESH:D015451	chronic lymphocytic leukemia|chronic lymphocytic leukemia|CLL|CLL|CLL|CLL|CLL	DNorm
10004679	MESH:D005184	nanometer-size tubes	DNorm
1000468	MESH:D008105	liver or biliary disease	DNorm
1000469	MESH:D004194	retroperitoneal disease	DNorm
1000469	MESH:D009369	cancer	DNorm
1000469	MESH:D015179	colorectal cancer|colorectal cancer	DNorm
1000470	MESH:D004417	breathlessness	DNorm
1000470	MESH:D004646	emphysema	DNorm
1000470	MESH:D006486	hemosiderosis	DNorm
1000470	MESH:D008171	pulmonary lymphangiomyomatosis|Pulmonary lymphangiomyomatosis	DNorm
1000471	MESH:D020518	nodular fasciitis|nodular fasciitis|Nodular fasciitis	DNorm
1000472	MESH:D009369	malignancies|tumor|malignancies|tumor|cancer	DNorm
1000472	MESH:D053120	aspiration	DNorm
10004722	MESH:D002349	Comparison of resonant tunneling	DNorm
10004738	MESH:D009069	epitaxial rotation	DNorm
1000474	MESH:D009369	tumors|tumors|tumors|tumors	DNorm
10004741	MESH:D019966	dependence	DNorm
1000475	MESH:C562463	pancreatic carcinoma|pancreatic carcinoma	DNorm
1000475	MESH:D009369	cancer	DNorm
1000475	MESH:D010182	pancreatic disease|pancreatic disease	DNorm
1000475	MESH:D010190	pancreatitis|carcinoma of the pancreas|pancreatitis	DNorm
